Date,AAPL,BA,DIS,IBM,KO,MSFT,Day,Quarter
2010-04-26,9.625,74.33999633789062,37.040000915527344,130.72999572753906,26.864999771118164,31.11000061035156,Monday,2
2010-04-27,9.35857105255127,72.4800033569336,36.31999969482422,128.82000732421875,26.434999465942383,30.850000381469727,Tuesday,2
2010-04-28,9.342857360839844,72.37000274658203,36.290000915527344,130.10000610351562,26.68000030517578,30.90999984741211,Wednesday,2
2010-04-29,9.59428596496582,73.79000091552734,37.220001220703125,130.4600067138672,26.8700008392334,31.0,Thursday,2
2010-04-30,9.3246431350708,72.43000030517578,36.84000015258789,129.0,26.725000381469727,30.540000915527344,Friday,2
2010-05-03,9.512499809265137,74.38999938964844,37.560001373291016,129.60000610351562,26.8799991607666,30.86000061035156,Monday,2
2010-05-04,9.238571166992188,72.79000091552734,36.59000015258789,128.1199951171875,26.59000015258789,30.1299991607666,Tuesday,2
2010-05-05,9.142499923706056,71.0,35.34000015258789,127.45999908447266,26.82999992370605,29.850000381469727,Wednesday,2
2010-05-06,8.794642448425293,67.97000122070312,34.0099983215332,123.91999816894533,26.149999618530277,28.979999542236328,Thursday,2
2010-05-07,8.423571586608887,66.72000122070312,33.40999984741211,122.0999984741211,26.334999084472656,28.209999084472656,Friday,2
2010-05-10,9.07107162475586,71.0,35.290000915527344,126.2699966430664,27.020000457763672,28.940000534057617,Monday,2
2010-05-11,9.161428451538086,71.41999816894531,35.7599983215332,126.88999938964844,26.80500030517578,28.8799991607666,Tuesday,2
2010-05-12,9.360357284545898,72.87000274658203,35.130001068115234,132.67999267578125,27.01000022888184,29.440000534057617,Wednesday,2
2010-05-13,9.227143287658691,71.76000213623047,34.75,131.47999572753906,26.7450008392334,29.239999771118164,Thursday,2
2010-05-14,9.0649995803833,69.81999969482422,34.060001373291016,131.19000244140625,26.670000076293945,28.93000030517578,Friday,2
2010-05-17,9.079285621643066,69.68000030517578,34.20000076293945,130.44000244140625,26.70499992370605,28.940000534057617,Monday,2
2010-05-18,9.012857437133787,67.72000122070312,33.72999954223633,129.9499969482422,26.549999237060547,28.600000381469727,Tuesday,2
2010-05-19,8.869285583496094,66.20999908447266,33.38999938964844,128.86000061035156,26.559999465942383,28.239999771118164,Wednesday,2
2010-05-20,8.49142837524414,63.0,31.989999771118164,123.8000030517578,25.770000457763672,27.11000061035156,Thursday,2
2010-05-21,8.654285430908203,64.55999755859375,32.869998931884766,125.41999816894533,25.795000076293945,26.84000015258789,Friday,2
2010-05-24,8.812856674194336,63.150001525878906,32.47999954223633,124.4499969482422,25.729999542236328,26.270000457763672,Monday,2
2010-05-25,8.757857322692871,62.77999877929688,32.31999969482422,124.5199966430664,25.309999465942383,26.06999969482422,Tuesday,2
2010-05-26,8.71821403503418,63.2599983215332,33.06999969482422,123.2300033569336,25.040000915527344,25.01000022888184,Wednesday,2
2010-05-27,9.048213958740234,65.12999725341797,34.369998931884766,126.38999938964844,25.614999771118164,26.0,Thursday,2
2010-05-28,9.174285888671877,64.18000030517578,33.41999816894531,125.26000213623048,25.700000762939453,25.799999237060547,Friday,2
2010-06-01,9.315357208251951,62.95000076293945,33.33000183105469,124.33999633789062,25.645000457763672,25.88999938964844,Tuesday,2
2010-06-02,9.426785469055176,64.33999633789062,34.7400016784668,127.41000366210938,26.20499992370605,26.459999084472656,Wednesday,2
2010-06-03,9.39714241027832,64.30999755859375,34.709999084472656,127.95999908447266,26.375,26.86000061035156,Thursday,2
2010-06-04,9.14142894744873,61.150001525878906,33.689998626708984,125.27999877929688,25.63500022888184,25.790000915527344,Friday,2
2010-06-07,8.962142944335938,60.11000061035156,33.040000915527344,124.12999725341795,25.399999618530277,25.290000915527344,Monday,2
2010-06-08,8.904643058776855,61.02000045776367,33.150001525878906,123.72000122070312,25.780000686645508,25.11000061035156,Tuesday,2
2010-06-09,8.685714721679688,61.709999084472656,32.939998626708984,123.9000015258789,25.674999237060547,24.790000915527344,Wednesday,2
2010-06-10,8.946785926818848,63.88999938964844,34.11000061035156,127.68000030517578,26.225000381469727,25.0,Thursday,2
2010-06-11,9.05392837524414,65.37999725341797,34.2400016784668,128.4499969482422,25.825000762939453,25.65999984741211,Friday,2
2010-06-14,9.081428527832031,64.81999969482422,33.93000030517578,128.5,25.7549991607666,25.5,Monday,2
2010-06-15,9.274642944335938,67.4800033569336,34.9900016784668,129.7899932861328,26.09000015258789,26.57999992370605,Tuesday,2
2010-06-16,9.544642448425291,67.02999877929688,34.790000915527344,130.35000610351562,26.200000762939453,26.31999969482422,Wednesday,2
2010-06-17,9.70964241027832,67.26000213623047,35.06999969482422,130.97999572753906,26.18000030517578,26.3700008392334,Thursday,2
2010-06-18,9.788214683532717,67.95999908447266,35.150001525878906,130.14999389648438,26.155000686645508,26.440000534057617,Friday,2
2010-06-21,9.64892864227295,67.97000122070312,35.060001373291016,130.64999389648438,26.239999771118164,25.950000762939453,Monday,2
2010-06-22,9.780357360839844,66.27999877929688,34.349998474121094,129.3000030517578,26.229999542236328,25.770000457763672,Tuesday,2
2010-06-23,9.677499771118164,67.44999694824219,34.34000015258789,130.11000061035156,26.1200008392334,25.309999465942383,Wednesday,2
