Date,Price,Returns
2014-04-09,197.6499938964844,0.016718107520777847
2014-04-10,198.3000030517578,0.003288687960262937
2014-04-11,196.0500030517578,-0.011346444606018191
2014-04-15,189.8999938964844,-0.03136959479490442
2014-04-16,190.1000061035156,0.0010532502025262236
2014-04-17,192.6999969482422,0.013676963499468897
2014-04-21,201.6499938964844,0.046445236585271665
2014-04-22,193.6499938964844,-0.03967270142396706
2014-04-23,192.5500030517578,-0.005680304050588281
2014-04-24,192.5500030517578,0.0
2014-04-25,193.5500030517578,0.005193456162819077
2014-04-28,193.1499938964844,-0.002066696713853511
2014-04-29,190.6000061035156,-0.013202111693233709
2014-04-30,185.3500061035156,-0.027544595130541083
2014-05-02,180.5500030517578,-0.025896967325034992
2014-05-05,180.3999938964844,-0.0008308454873324767
2014-05-06,180.0500030517578,-0.0019400823534806433
2014-05-07,178.75,-0.00722023343362066
2014-05-08,180.0,0.006993006993007089
2014-05-09,183.3999938964844,0.018888854980468883
2014-05-12,189.5,0.03326066688398366
2014-05-13,192.9499969482422,0.018205788645077492
2014-05-14,197.1499938964844,0.02176728175522502
2014-05-15,193.6000061035156,-0.01800653260396634
2014-05-16,214.9499969482422,0.11027887485350085
2014-05-19,227.75,0.0595487473062859
2014-05-20,245.75,0.07903402854006591
2014-05-21,249.1999969482422,0.014038644753783025
2014-05-22,259.04998779296875,0.039526448496596034
2014-05-23,268.3500061035156,0.035900477702316635
2014-05-26,279.20001220703125,0.04043229311248919
2014-05-27,276.6000061035156,-0.009312342370485616
2014-05-28,276.45001220703125,-0.0005422772710577117
2014-05-29,275.5,-0.0034364701214764093
2014-05-30,280.45001220703125,0.01796737643205537
2014-06-02,280.0,-0.0016046075501648938
2014-06-03,297.95001220703125,0.06410718645368307
2014-06-04,295.29998779296875,-0.008894191325695022
2014-06-05,314.5,0.06501866915244214
2014-06-06,306.6000061035156,-0.025119217476897826
2014-06-09,307.8999938964844,0.004240012286659489
2014-06-10,300.5,-0.024033757853766824
2014-06-11,294.79998779296875,-0.018968426645694647
2014-06-12,292.5,-0.007801858508162396
2014-06-13,289.6000061035156,-0.009914509047809883
2014-06-16,290.1000061035156,0.0017265193006290591
2014-06-17,297.29998779296875,0.02481896428117958
2014-06-18,297.45001220703125,0.0005046230078118441
2014-06-19,295.04998779296875,-0.008068664701859296
2014-06-20,291.8500061035156,-0.010845557776123282
2014-06-23,296.8500061035156,0.017132088043289473
